Compliance Status,Building ID,Building Name,Site Address,Site Zip,Year Built,"Floor Area 
(sf)",Primary Property Type ,ENERGY STAR Score,Certified or Verified?,"Site EUI 
(kBtu/sf)","Weather Normalized  Site EUI 
(kBtu/sf)",Source EUI (kBtu/sf),Weather Normalized Source EUI (kBtu/sf),"Electricity Generated from Onsite Renewable Systems 
(kWh)","Total GHG Emissions 
(Metric Tons CO2e)"
Compliant,1N1E29D-200-B1,Montgomery Park,2701 NW VAUGHN ST,97210,1995,"748,800",Office,91,Certified,43.8,43.5,109.7,108.9,"1,045,258",2482.4
Compliant,1N1E33DA-1900-B1,Meier & Frank Depot (Vestas Americas HQ),1417 NW EVERETT ST,97209,1928,"132,434",Office,91,Certified,48.9,49.8,117.5,118.5,"12,835",511.9
Compliant,1S1E03BD-1800-B1,Umpqua Bank Plaza,1 SW COLUMBIA ST,97258,1975,"325,979",Office,90,Certified,41.7,43.3,88.5,90.3,,1005.4
Compliant,1S2E09AA-7401-B1,"Centre 205, LLC",2600 SE 98TH AVE,97266,1990,"29,112",Office,90,Certified,42.2,42.8,104.7,105.3,,99.4
Compliant,1N1E34BA-100-B1,Albers Mill,1200 NW NAITO PKWY,97209,1910,"134,522",Office,88,Certified,43,43.6,107,107.1,,55
Compliant,1N1E34CD-4600-B1,Block 300 Building,333 SW 1ST AVE,97204,1991,"361,640",Office,86,Certified,44.7,44.6,124.2,124.1,,1401.2
Compliant,1N1E34CD-80000-B1,U.S. Bancorp Tower,555 SW OAK ST,97204,N/A,"1,356,075",Office,86,Certified,50.8,51.7,121.9,122.9,,5465.1
Compliant,1S1E03DA-1400-B1,River East Center,1515 SE WATER AVE,97214,N/A,"101,500",Office,86,Certified,57.8,58,137.5,137.2,,462.9
Compliant,1S1E03BD-300-B1,One Main Place,101 SW MAIN ST,97204,1982,"355,255",Office,85,Certified,48.7,49.5,116.1,116.7,,1367.4
Compliant,1N1E34CC-7900-B1,Cascade Building,520-538 SW 6TH AVE,97204,1926,"97,765",Office,84,Certified,47.4,49,109.1,110.8,,358.9
